推广创意,ID,推广计划,推广单元,计划类型,状态,创意图片,商品SKU,落地页地址,到期时间,创意尺寸,展现数,点击数,点击率(%),总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,直接购物车数,间接购物车数,总购物车数,转化率(%),ROI,CPA,资源位,
10029156564195-智能手环,3624480360,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564195,https://item.jd.com/10029156564195.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10029156564195-智能手环,3624480360,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564195,https://item.jd.com/10029156564195.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10029156564195-智能手环,3624480360,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564195,https://item.jd.com/10029156564195.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10029156564196-智能手环,3624480358,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564196,https://item.jd.com/10029156564196.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10029156564196-智能手环,3624480358,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564196,https://item.jd.com/10029156564196.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10029156564196-智能手环,3624480358,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564196,https://item.jd.com/10029156564196.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10029156564196-智能手环,3624480358,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564196,https://item.jd.com/10029156564196.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10029156564197-智能手环,3624480357,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564197,https://item.jd.com/10029156564197.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10029156564197-智能手环,3624480357,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564197,https://item.jd.com/10029156564197.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10029156564197-智能手环,3624480357,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564197,https://item.jd.com/10029156564197.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
